# Jusung Engineering — 2026 Q2 — 반기보고서 (2026.06)
# source label: Jusung Engineering Q2 FY2026 (08-14-2026)
# DART rcept_no: 20260814002613   filed: 20260814   url: https://dart.fss.or.kr/dsaf001/main.do?rcptNo=20260814002613
# financials: 연결 (consolidated), KRW

## FINANCIAL STATEMENTS (fnlttSinglAcntAll)


### 재무상태표
account | 제 32 기 반기말 | YTD | 제 31 기말 | 전전기
구축물의 취득 | 8,567,273 | - | - | -
차량운반구의 취득 | - | - | - | -
공구와기구의 취득 | 85,259,000 | - | - | -
투자활동으로 분류하는 기타포괄손익-공정가치 측정 금융자산의 취득 | 18,031,262,978 | - | - | -
영업활동현금흐름 | -18,917,241,995 | - | - | -
영업활동으로 인한 자산 부채의 변동 | -36,026,562,141 | - | - | -
선급금의 감소(증가) | -147,420,625 | - | - | -
미수금의 감소(증가) | -735,274,205 | - | - | -
하자보수충당부채의 증가(감소) | -1,687,832,544 | - | - | -
선수금의 증가(감소) | 1,065,887,971 | - | - | -
장기미지급금의 증가(감소) | -429,085,941 | - | - | -
단기미지급금의 증가(감소) | 5,970,919,662 | - | - | -
예수금의 증가(감소) | -874,899,187 | - | - | -
퇴직금의 지급 | -221,017,179 | - | - | -
계약자산의 감소(증가) 조정 | -4,960,589,160 | - | - | -
재고자산의 감소(증가) | -4,975,218,685 | - | - | -
선급비용의 감소(증가) 조정 | -1,062,310,543 | - | - | -
매출채권의 감소(증가) | -1,459,512,756 | - | - | -
계약부채의 증가(감소) 조정 | -31,009,421,740 | - | - | -
매입채무의 증가(감소) | 4,499,212,791 | - | - | -
당기순이익조정을 위한 가감 | 13,877,053,977 | - | - | -
대손상각비 조정 | 449,940,346 | - | - | -
외화환산이익 조정 | 1,688,831,222 | - | - | -
무형자산처분이익 조정 | - | - | - | -
이자비용 조정 | 1,888,115,715 | - | - | -
유형자산폐기손실 조정 | - | - | - | -
무형자산처분손실 조정 | - | - | - | -
외화환산손실 조정 | 186,047,396 | - | - | -
잡이익 조정 | 1,146,259 | - | - | -
잡손실 조정 | - | - | - | -
퇴직급여 조정 | 1,104,619,698 | - | - | -
대손충당금 환입 | - | - | - | -
하자보수비 조정 | 708,425,371 | - | - | -
재고자산평가손실 조정 | 4,804,398,070 | - | - | -
임대료수익 조정 | 1,808,792,364 | - | - | -
사용권자산상각비에 대한 조정 | 453,723,042 | - | - | -
무형자산상각비에 대한 조정 | 610,441,940 | - | - | -
감가상각비에 대한 조정 | 10,164,254,650 | - | - | -
법인세비용 조정 | -1,016,334,779 | - | - | -
이자수익에 대한 조정 | 1,977,807,627 | - | - | -
배당금지급(영업) | 2,421,777,866 | - | - | -
법인세환급(납부) | 237,582,392 | - | - | -
이자지급(영업) | 375,225,431 | - | - | -
영업활동으로 분류된 이자수취 | 1,956,826,459 | - | - | -
당기순이익(손실) | 5,500,994,210 | - | - | -
현금및현금성자산에 대한 환율변동효과 | 1,358,590,310 | - | - | -
환율변동효과 반영전 현금및현금성자산의 순증가(감소) | -42,751,370,395 | - | - | -

### 자본변동표
account | 제 32 기 반기 | YTD | 전기 | 전전기
기초자본 | 590,456,566,398 | - | - | -
기초자본 | 590,456,566,398 | - | - | -
기초자본 | -49,855,525,850 | - | - | -
기초자본 | 109,008,136,048 | - | - | -
기초자본 | 62,583,042,413 | - | - | -
기초자본 | 444,596,307,787 | - | - | -
기초자본 | 24,124,606,000 | - | - | -
자기주식 소각 | 24,927,778,758 | - | - | -
자기주식 소각 | -24,927,778,758 | - | - | -
총포괄손익 | -47,293,148 | - | - | -
총포괄손익 | 3,910,060,409 | - | - | -
총포괄손익 | 5,123,972,191 | - | - | -
총포괄손익 | 3,957,353,557 | - | - | -
소유주에 대한 배분으로 인식된 배당금 | 2,421,777,866 | - | - | -
소유주에 대한 배분으로 인식된 배당금 | 2,421,777,866 | - | - | -
소유주에 대한 배분으로 인식된 배당금 | 2,421,777,866 | - | - | -
자본총계 | -24,927,747,092 | - | - | -
자본총계 | 591,944,848,941 | - | - | -
자본총계 | 591,944,848,941 | - | 590,456,566,398 | -
자본총계 | 62,535,749,265 | - | - | -
자본총계 | 109,008,136,048 | - | - | -
자본총계 | 24,124,606,000 | - | - | -
자본총계 | 421,204,104,720 | - | - | -
기타포괄손익 | -352,671,842 | - | - | -
기타포괄손익 | -47,293,148 | - | - | -
기타포괄손익 | -399,964,990 | - | - | -
기타포괄손익 | -377,022,019 | - | - | -
해외사업장환산외환차이(세후기타포괄손익) | 267,910,917 | - | - | -
해외사업장환산외환차이(세후기타포괄손익) | 67,396,394 | - | - | -
해외사업장환산외환차이(세후기타포괄손익) | 267,910,917 | - | - | -
세후기타포괄손익, 지분상품에 대한 투자자산 | -315,204,065 | - | - | -
세후기타포괄손익, 지분상품에 대한 투자자산 | -315,204,065 | - | - | -
세후기타포괄손익, 지분상품에 대한 투자자산 | -315,204,065 | - | - | -
확정급여제도의 재측정손익(세후기타포괄손익) | -129,214,348 | - | - | -
확정급여제도의 재측정손익(세후기타포괄손익) | -352,671,842 | - | - | -
확정급여제도의 재측정손익(세후기타포괄손익) | -352,671,842 | - | - | -
당기순이익(손실) | 5,500,994,210 | - | - | -
당기순이익(손실) | 4,310,025,399 | - | - | -
당기순이익(손실) | 4,310,025,399 | - | - | -


## REPORT TEXT

반기보고서
6.7
주성엔지니어링(주)

Y
130111-0033281

반 기 보 고 서

(제 32 기 반기)

사업연도 | 2026년 01월 01일 | 부터
2026년 06월 30일 | 까지

금융위원회 | 
한국거래소 귀중 | 2026년 08월 14일

제출대상법인 유형 : | 주권상장법인
면제사유발생 : | 해당사항 없음

회 사 명 : | 주성엔지니어링(주)
대 표 이 사 : | 황 철 주, 황 은 석
본 점 소 재 지 : | 경기도 광주시 오포로 240
 | (전 화) 031-760-7000
 | (홈페이지) https://www.jusung.com
작 성 책 임 자 : | (직 책) 경영전략팀장 (성 명) 김 보 현
 | (전 화) 031 - 760 - 7109

목 차

【 대표이사 등의 확인 】

대표이사 등의 확인서.jpg
대표이사 등의 확인서

I. 회사의 개요

1. 회사의 개요

가. 연결대상 종속회사 개황
(1) 연결대상 종속회사 현황(요약)

(단위 : 사)

구분 | 연결대상회사수 | 주요종속회사수
기초 | 증가 | 감소 | 기말
상장 | - | - | - | - | -
비상장 | 4 | - | - | 4 | -
합계 | 4 | - | - | 4 | -

※상세 현황은 '상세표-1. 연결대상 종속회사 현황(상세)' 참조

(2). 연결대상회사의 변동내용

구 분 | 자회사 | 사 유
신규연결 | - | -
- | -
연결제외 | - | -
- | -

나. 회사의 법적·상업적 명칭

구분 | 회사의 명칭
한글 | 주성엔지니어링 주식회사
영문 | JUSUNG ENGINEERING CO.,LTD.

다. 설립일자 및 존속기간
당사는 1993년 4월 13일 대한민국 법률에 따라 적법하게 설립되어 1999년 12월 22일 코스닥 시장에 당시 IPO 최고가로 성공적으로 상장된 회사로, 반도체, 태양광, 디스플레이 제조장비 등의 R&D, 제조 및 판매 사업을 영위하며 대한민국 장비 산업의 세계화를 실현한 첫번째 기업이자, 반도체, 태양광, 디스플레이 산업의 소재·부품·장비 핵심 전략 기술 관련 대한민국 정부 인증을 모두 보유한 유일한 기업입니다. 

라. 본사의 주소, 전화번호, 홈페이지 주소

주소 | 본사 | 경기도 광주시 오포로 240
주성 용인 R&D 센터 | 경기도 용인시 기흥구 신정로 79
전화번호 | 031-760-7000
홈페이지 주소 | https://www.jusung.com

마. 중소기업 등 해당 여부

중소기업 해당 여부 | 미해당
 | 벤처기업 해당 여부 | 미해당
중견기업 해당 여부 | 해당

주성엔지니어링 중견기업확인서.jpg
주성엔지니어링 중견기업확인서

바. 주요 사업의 내용

당사는 반도체, 태양전지 및 디스플레이 제조장비를 생산, 판매하고 있습니다. 당사는 하나의 제조 공장에서 동일한 원자재와 용역, 기계장치를 활용하여 제품을 생산하기 때문에 사업부문의 구분이 현실적으로 어려워 단일 사업부문으로 작성을 하되, 생산하는 장비의 특성과 고객사가 속한 산업군 등을 고려하여 총 3개의 장비군으로 나누어 현황을 기재하였습니다.

 | (단위 : 백만원, %)

제조장비 | 주요 제품 | 매출액(비율)
반도체제조장비 | SD System(ALD, HDPCVD, Dry Etch, MOCVD, UHVCVD), ALMO(ALD, CVD), ALMO+(ALD, CVD)SDP System(ALD, CVD), Guidance Series(ALG, ALD, CVD), Eureka (Epi) | 112,574(98.1%)
태양전지제조장비 | 박막형(Thin film Si) 태양전지 제조장비(PECVD, MOCVD)결정형(c-Si) 태양전지 제조장비(HJT, PECVD, PVD, RIE)페로브스카이트 태양전지 제조장비(ALG, ALD, CVD, PVD)탠덤(Tandem) 태양전지 제조장비(ALG, ALD, CVD, PECVD, PVD) | -(0.0%)
디스플레이제조장비 | LCD TFT 장비(PECVD), OLED LTPS TFT 장비(CVD), OLED Oxide TFT 장비(CVD)Encapsulation 장비(ALG, ALD, CVD), ToE(CVD) | 2,187(1.9%)
합계 | 114,761(100.0%)

※ 상세한 내용은 'II. 사업의 내용' 을 참조하시기 바랍니다. 

사. 신용평가에 관한 사항

당사는 ㈜나이스디앤비와 ㈜이크레더블로부터 신용등급 평가를 받고 있습니다. 최근 ㈜이크레더블의 당사 신용평가등급은 BBB+ (신용등급 정의: 채무이행 능력이 양호하나, 장래 경기침체 및 환경변화에 따라 채무이행 능력이 저하될 가능성을 내포하고 있음)입니다.

평가일 | 기업신용등급 (신용평가 등급범위) | 평가기관 | 비고
2026.04.22 | BBB+(AAA ~ D) | ㈜이크레더블 | 정기평가
2026.04.20 | BBB+(AAA ~ D) | ㈜나이스디앤비 | 정기평가
2025.11.28 | A-(AAA ~ D) | ㈜나이스디앤비 | 정기평가
2025.09.15 | A-(AAA ~ D) | ㈜이크레더블 | 정기평가
2025.08.28 | A-(AAA ~ D) | ㈜나이스디앤비 | 정기평가
2025.04.18 | A-(AAA ~ D) | ㈜이크레더블 | 정기평가
2025.04.17 | A-(AAA ~ D) | ㈜나이스디앤비 | 정기평가
2024.09.26 | BBB+(AAA ~ D) | ㈜나이스디앤비 | 정기평가
2024.09.05 | BBB+(AAA ~ D) | ㈜이크레더블 | 정기평가
2024.04.25 | BBB+(AAA ~ D) | ㈜이크레더블 | 정기평가
2024.04.23 | BBB+(AAA ~ D) | ㈜나이스디앤비 | 정기평가

아. 회사의 주권상장(또는 등록ㆍ지정) 및 특례상장에 관한 사항

주권상장(또는 등록ㆍ지정)현황 | 주권상장(또는 등록ㆍ지정)일자 | 특례상장 유형
코스닥시장 상장 | 1999년 12월 24일 | 기술성장기업의 코스닥시장 상장

2. 회사의 연혁

가. 회사의 본점소재지 및 그 변경
- 해당사항 없습니다.

나. 경영진 및 감사의 중요한 변동

변동일자 | 주총종류 | 선임 | 임기만료또는 해임
신규 | 재선임
2022년 03월 29일 | 정기주총 | 사외이사 신성철 | 대표이사 황철주 | -
2022년 04월 04일 | - | - | - | 사내이사 김헌도(중도사임)
2023년 03월 29일 | 정기주총 | 사외이사 조 현사외이사 석영철상근감사 금기현 | - | 사외이사 권기청(임기만료)
2023년 04월 03일 | - | - | - | 상근감사 이영진(중도사임)
2024년 03월 28일 | 정기주총 | - | - | 사외이사 조동일(임기만료)
2024년 10월 08일 | 임시주총 | 사외이사 권평오 | - | -
2025년 03월 25일 | 정기주총 | 사내이사 이우경사내이사 황은석사외이사 김재준 | 대표이사 황철주사외이사 신성철사외이사 권평오 | 사외이사 권평오(중도사임)
2025년 04월 28일 | - | - | 대표이사 이우경대표이사 황은석 | -
2025년 06월 23일 | - | - | - | 사외이사 조 현(중도사임)
2025년 09월 19일 | - | - | - | 대표이사 이우경(중도사임)
2026년 03월 26일 | 정기주총 | 사내이사 유진혁사외이사 김현명(주1) | 사외이사 석영철상근감사 금기현(주2) | -

(주1) 2026년 3월 26일 제31기 정기주주총회에서 사내이사 유진혁, 독립(사외)이사 김현명이 신규 선임되었습니다. (주2) 2026년 3월 26일 제31기 정기주주총회에서 독립(사외)이사 석영철, 상근감사 금기현이 재선임되었습니다. 

다. 최대주주의 변동
- 해당사항 없습니다. 
라. 상호의 변경
- 해당사항 없습니다.
마. 회사가 화의, 회사정리절차 그 밖에 이에 준하는 절차를 밟은 적이 있거나 현재 진행중인 경우 그 내용과 결과
- 해당사항 없습니다. 
바. 회사가 합병 등을 한 경우 그 내용
- 해당사항 없습니다. 
사. 회사의 업종 또는 주된 사업의 변화
- 해당사항 없습니다. 
아. 그 밖에 경영활동과 관련된 중요한 사항의 발생내용
2021. 01. SK하이닉스(주) 반도체 제조장비 공급계약 체결(130.3억원)2021. 04. SK하이닉스(주) 반도체 제조장비 공급계약 체결(145.2억원)2021. 04. 신규시설 투자2021. 07. SK하이닉스(주) 반도체 제조장비 공급계약 체결(121.3억원)2021. 08. SK하이닉스(주) 반도체 제조장비 공급계약 체결(145.2억원)2021. 09. EnCORE Group LLC 태양전지 제조장비 공급계약 체결(470.9억원)2021. 12. SK하이닉스(주) 반도체 제조장비 제조장비 공급계약 체결(328.5억원)

2022. 02. SK하이닉스(주) 반도체 제조장비 공급계약 체결(151.5억원)2022. 02. LG디스플레이(주) 디스플레이 제조장비 공급계약 체결(408.9억원)2022. 05. SK하이닉스(주) 반도체 제조장비 공급계약 체결(303억원)2024. 05. 반도체장비 연구개발 및 제조, 판매사업부문 인적분할 결정2024. 05. 디스플레이 및 태양광장비 연구개발 및 제조, 판매사업부문 물적분할 결정2024. 07. 주식소각 결정(980,891주)2024. 07. SK하이닉스(주) 반도체 제조장비 공급계약 체결(194억원)2024. 10. 자기주식취득 신탁계약 체결 결정(500억원)2024. 10. 주식매수청구권 행사금액 초과에 따른 회사분할 결정 철회2024. 11. 신탁계약을 통한 발행주식 취득 완료(1,574,399주)

2025. 01. 현금·현물배당결정(1주당 287원)2025. 06. 주성 용인 제2연구소 신규시설 투자 결정2026. 02. 주식소각 결정(787,200주)

3. 자본금 변동사항

가. 자본금 변동추이

 | (단위 : 주, 원)

종류 | 구분 | 제32기 반기(2026년 6월말) | 제31기(2025년말) | 제30기 (2024년말)
보통주 | 발행주식총수 | 46,481,121 | 47,268,321 | 47,268,321
액면금액 | 500 | 500 | 500
자본금 | 24,124,606,000 | 24,124,606,000 | 24,124,606,000
우선주 | 발행주식총수 | - | - | -
액면금액 | - | - | -
자본금 | - | - | -
기타 | 발행주식총수 | - | - | -
액면금액 | - | - | -
자본금 | - | - | -
합계 | 자본금 | 24,124,606,000 | 24,124,606,000 | 24,124,606,000

- 당사는 2026년 2월 10일 이사회 결의를 통해 자기주식 787,200주를 이익소각을 진행하였으며, 발행주식총수가 기존 47,268,321주에서 46,481,121주로 변경되어 2026년 2월 26일 등기 완료하였습니다. 해당 주식 소각은 배당가능이익 범위 내에서 취득한 자기주식을 이사회 결의에 의하여 소각하는 것으로, 발행주식총수는 감소하나 자본금의 감소는 없습니다.- 당사는 최근 5년간 자본금 변동사항 없습니다.

4. 주식의 총수 등

가. 주식의 총수 현황

(기준일 : | 2026년 06월 30일 | ) | (단위 : 주, %)

구 분 | 주식의 종류 | 비고
보통주 | 우선주 | 합계
Ⅰ. 발행할 주식의 총수 | 100,000,000 | - | 100,000,000 | -
Ⅱ. 현재까지 발행한 주식의 총수 | 48,249,212 | - | 48,249,212 | -
Ⅲ. 현재까지 감소한 주식의 총수 | 1,768,091 | - | 1,768,091 | -
 | 1. 감자 | - | - | - | -
2. 이익소각 | 1,768,091 | - | 1,768,091 | -
3. 상환주식의 상환 | - | - | - | -
4. 기타 | - | - | - | -
Ⅳ. 발행주식의 총수(Ⅱ-Ⅲ) | 46,481,121 | - | 46,481,121 | -
Ⅴ. 자기주식수 | 787,199 | - | 787,199 | -
Ⅵ. 유통주식수(Ⅳ-Ⅴ) | 45,693,922 | - | 45,693,922 | -
Ⅶ. 자기주식 보유비율 | 1.69 | - | 1.69 | -

나. 자기주식
(1) 자기주식 취득 및 처분 현황

(기준일 : | 2026년 06월 30일 | ) | (단위 : 주)

취득방법 | 주식의 종류 | 기초수량 | 변동 수량 | 기말수량 | 비고
취득(+) | 처분(-) | 소각(-)
배당가능이익범위이내취득 | 직접취득 | 장내 직접 취득 | 보통주식 | - | - | - | - | - | -
기타주식 | - | - | - | - | - | -
장외직접 취득 | 보통주식 | - | - | - | - | - | -
기타주식 | - | - | - | - | - | -
공개매수 | 보통주식 | - | - | - | - | - | -
기타주식 | - | - | - | - | - | -
소계(a) | 보통주식 | - | - | - | - | - | -
기타주식 | - | - | - | - | - | -
신탁계약에 의한취득 | 수탁자 보유물량 | 보통주식 | - | - | - | - | - | -
기타주식 | - | - | - | - | - | -
현물보유물량 | 보통주식 | 1,574,399 | - | - | 787,200 | 787,199 | -
기타주식 | - | - | - | - | - | -
소계(b) | 보통주식 | 1,574,399 | - | - | 787,200 | 787,199 | -
기타주식 | - | - | - | - | - | -
기타 취득(c) | 보통주식 | - | - | - | - | - | -
기타주식 | - | - | - | - | - | -
총 계(a+b+c) | 보통주식 | 1,574,399 | - | - | 787,200 | 787,199 | -
기타주식 | - | - | - | - | - | -

- 당사는 2024년 10월 29일 이사회 결의를 통해 자기주식취득 신탁계약 체결을 결정하였으며, 2025년 4월 29일 신탁계약 기간만료에 따라 수탁자 보유물량에서 현물 보유물량으로 이동되었습니다.

(2) 자기주식 신탁계약 체결ㆍ해지 이행현황

(기준일 : | 2026년 06월 30일 | ) | (단위 : 백만원, %)

구 분 | 계약기간 | 계약금액(A) | 취득금액(B) | 이행률(B/A) | 결과보고일
시작일 | 종료일
신탁 해지 | 2024년 10월 29일 | 2025년 04월 29일 | 50,000 | 49,854 | 99.7 | 2025년 04월 30일

(3) 자기주식 소각현황

 | (단위 : 백만원, 주)

소각일 | 소각방법 | 주식종류 | 소각수량 | 소각금액
2024년 07월 18일 | 이익소각 | 보통주 | 980,891 | 37,077
2026년 02월 25일 | 이익소각 | 보통주 | 787,200 | 40,856

다. 자기주식 보유현황

(1) 자기주식 보유현황

(기준일 : | 2026년 06월 30일 | ) | (단위 : 주, %)

구분 | 주식종류 | 보유수량 | 발행주식총수대비비중 | 취득목적 | 취득연도 | 소각기한 | 보유처분계획승인내용 | 비고
주총승인일 | 보유처분기한 | 보유처분목적
배당가능이익범위이내취득 | 직접보유 | 보통주 | 787,199 | 1.7 | 주주 가치 증대및 주가 안정 | 2024년 | 2027년 | 2026년 03월 26일 | 2027년정기주주총회개최일 | 임직원주식 보상목적 등 | -
우선주 | - | - | - | - | - | - | - | - | -
수탁자보유 | 보통주 | - | - | - | - | - | - | - | - | -
우선주 | - | - | - | - | - | - | - | - | -
기타 취득 | 보통주 | - | - | - | - | - | - | - | - | -
우선주 | - | - | - | - | - | - | - | - | -
총계 | 보통주 | 787,199 | 1.7 | 
- | - | -

- 개정 상법에 따라 신규 취득한 자기주식의 경우 원칙적으로 취득일로부터 1년 내 소각하여야 하며, 기존에 보유 중인 자기주식의 경우 유예기간 6개월을 포함하여 시행일(2026.03.05)로부터 1년 6개월 이내 소각하여야합니다. 단, 임직원 보상, 경영상목적 등 자기주식의 활용이 필요한 경우 매년 주주총회의 승인을 받아 자기주식을 예외적으로 보유 또는 처분할 수 있습니다.

(2) 자기주식 취득ㆍ처분ㆍ소각 관련 단기 계획

(대상기간 : | 2026년 01월 01일 | ~ | 2026년 12월 31일 | ) | (단위 : 주, %)

구분 | 보유형태 | 주식종류 | 당초취득목적 | 거래방법 | 수량 | 발행주식총수대비 비중 | 결정사유
취득 | - | - | - | - | - | - | -
- | - | - | - | - | - | -
처분 | 배당가능이익-직접 보유 | 보통주 | 주주가치 증대및 주가 안정 | 기타 | 141,805 | 0.3 | 임직원 주식보상 목적 등
- | - | - | - | - | - | -
소각 | 배당가능이익-직접 보유 | 보통주 | 주주가치 증대및 주가 안정 | 이익소각 | 787,200 | 1.7 | 주식 소각
- | - | - | - | - | - | -
계속보유 | 배당가능이익-직접 보유 | 보통주 | 주주가치 증대및 주가 안정 | 기타 | 787,199 | 1.7 | 임직원 주식보상 목적 등
- | - | - | - | - | - | -

(3) 자기주식 취득ㆍ처분ㆍ소각 단기 계획 이행 현황

(대상기간 : | 2026년 01월 01일 | ~ | 2026년 06월 30일 | ) | (단위 : 주, %)

구분 | 보유형태 | 주식종류 | 전기 계획수량(A) | 당기 이행수량(B) | 이행률(B/A) | 차이발생사유
취득 | - | - | - | - | - | -
- | - | - | - | - | -
처분 | - | - | - | - | - | -
- | - | - | - | - | -
소각 | 배당가능이익-직접 보유 | 보통주 | 787,200 | 787,200 | 100 | -
- | - | - | - | - | -
계속보유 | 배당가능이익-직접 보유 | 보통주 | 787,199 | 787,199 | 100 | -
- | - | - | - | - | -

- 상기 내용은 제31기(2025년) 정기주주총회에서 승인받은 내용을 기반으로 작성되었으며, 회사의 경영성과 및 상황을 고려하여 세부 사항은 유동적으로 변경될 수 있습니다. - 당사는 2026년 2월 26일 자기주식 787,200주를 소각 완료 하였으며, 해당 주식 소각은 배당가능이익 범위 내에서 취득한 자기주식을 이사회 결의에 의하여 소각하는 것으로 발행주식총수는 감소하나 자본금의 감소는 없습니다. 

(4) 자기주식 취득ㆍ처분ㆍ소각 관련 장기 계획현재 구체적인 장기 계획은 없으나, 회사의 경영성과 및 상황, 당사 주주환원 정책, 중장기 투자 및 유동성 등을 고려하여 자기주식 취득ㆍ처분ㆍ소각 계획을 수립할 예정입니다. 

